Year,Honor,Name,Country,Birth Year,Death Year,Title,Category,Count,Context
2005,Persons of the Year,The Good Samaritans (Bono),Ireland,1960,,Lead Singer of U2,Philanthropy,1,Charity Concerts
2005,Persons of the Year,The Good Samaritans (Bill Gates),United States,1955,,Founder of Bill & Melinda Gates Foundation,Philanthropy,1,
2005,Persons of the Year,The Good Samaritans (Melinda Gates),United States,1964,,Founder of Bill & Melinda Gates Foundation,Philanthropy,1,
2006,Person of the Year,You,,,,,Technology,1,World Wide Web
2007,Person of the Year,Vladimir Putin,Russia,1952,,President of the Russian Federation,Politics,1,
2008,Person of the Year,Barack Obama,United States,1961,,President of the United States,Politics,1,Presidential Election
2009,Person of the Year,Ben Bernanke,United States,1953,,Chairman of the Federal Reserve,Economics,1,Financial Crisis
2010,Person of the Year,Mark Zuckerberg,United States,1984,,Founder and CEO of Facebook,Technology,1,
2011,Person of the Year,The Protester,,,,,Revolution,1,Arab Spring
2012,Person of the Year,Barack Obama,United States,1961,,President of the United States,Politics,1,Presidential Election
2013,Person of the Year,Pope Francis,Vatican City,1936,,Pope of the Roman Catholic Church,Religion,1,Papal Conclave
2014,Person of the Year,The Ebola Fighters,,,,,Science,1,Ebola Epidemic
2015,Person of the Year,Angela Merkel,Germany,1954,,Chancellor of Germany,Politics,1,Debt Crisis; Refugee Crisis; Paris Terrorist Attacks
2016,Person of the Year,Donald Trump,United States,1946,,President of the United States,Politics,1,Presidential Election
